departure_port,arrival_port,Departure Delay,Arrival Delay,Date,real_fare_(AUD)
Sydney,Townsville,14.81481481,16.66666667,2010-08,386.0
Sydney,Wagga Wagga,14.39688716,27.62645914,2010-08,305.0
Townsville,Brisbane,13.31360947,15.38461538,2010-08,
Townsville,Cairns,21.53846154,32.82051282,2010-08,
Townsville,Sydney,18.51851852,18.51851852,2010-08,
Wagga Wagga,Sydney,20.703125,23.046875,2010-08,
Adelaide,Brisbane,45.16129032,29.03225806,2010-08,157.0
Adelaide,Gold Coast,3.225806452,0.0,2010-08,232.0
Adelaide,Melbourne,12.24489796,18.36734694,2010-08,87.0
Adelaide,Perth,3.225806452,12.90322581,2010-08,406.0
Adelaide,Sydney,20.51282051,10.25641026,2010-08,122.0
Ballina,Sydney,25.71428571,20.0,2010-08,237.0
Brisbane,Adelaide,22.58064516,35.48387097,2010-08,
Brisbane,Cairns,21.50537634,21.50537634,2010-08,392.0
Brisbane,Hamilton Island,20.0,26.66666667,2010-08,223.0
Brisbane,Mackay,16.85393258,16.85393258,2010-08,209.0
Brisbane,Newcastle,16.21621622,14.41441441,2010-08,166.0
Brisbane,Proserpine,25.80645161,25.80645161,2010-08,195.0
Brisbane,Sydney,28.37837838,51.35135135,2010-08,209.0
Brisbane,Townsville,12.90322581,12.90322581,2010-08,293.0
Cairns,Brisbane,15.2173913,13.04347826,2010-08,
Cairns,Melbourne,28.57142857,20.40816327,2010-08,688.0
Cairns,Sydney,25.0,18.75,2010-08,560.0
Darwin,Melbourne,7.692307692000001,7.692307692000001,2010-08,272.0
Gold Coast,Adelaide,6.451612902999999,6.451612902999999,2010-08,
Gold Coast,Melbourne,18.46153846,17.94871795,2010-08,
Gold Coast,Newcastle,24.32432432,27.02702703,2010-08,
Gold Coast,Sydney,21.03321033,17.34317343,2010-08,171.0
Hamilton Island,Brisbane,30.0,23.33333333,2010-08,
Hamilton Island,Sydney,25.80645161,25.80645161,2010-08,491.0
Hobart,Melbourne,20.75471698,15.09433962,2010-08,131.0
Hobart,Sydney,30.612244899999997,24.48979592,2010-08,265.0
Launceston,Melbourne,23.45679012,22.22222222,2010-08,195.0
Launceston,Sydney,22.58064516,12.90322581,2010-08,251.0
Mackay,Brisbane,25.55555556,27.77777778,2010-08,
Melbourne,Adelaide,4.166666667,0.0,2010-08,
Melbourne,Cairns,10.20408163,14.28571429,2010-08,
Melbourne,Darwin,0.0,7.142857143,2010-08,
Melbourne,Gold Coast,13.84615385,13.84615385,2010-08,182.0
Melbourne,Hobart,15.88785047,14.01869159,2010-08,
Melbourne,Launceston,17.28395062,17.28395062,2010-08,
Melbourne,Newcastle,17.5,18.75,2010-08,152.0
Melbourne,Perth,9.677419355,25.80645161,2010-08,392.0
Melbourne,Sunshine Coast,11.29032258,12.90322581,2010-08,
Melbourne,Sydney,25.97402597,20.12987013,2010-08,108.0
Newcastle,Brisbane,14.41441441,17.11711712,2010-08,
Newcastle,Gold Coast,21.62162162,21.62162162,2010-08,195.0
Newcastle,Melbourne,13.58024691,19.75308642,2010-08,
Perth,Adelaide,9.677419355,3.225806452,2010-08,
Perth,Melbourne,24.19354839,14.51612903,2010-08,
Perth,Sydney,61.29032258,25.80645161,2010-08,533.0
Proserpine,Brisbane,29.03225806,32.25806452,2010-08,
Sunshine Coast,Melbourne,31.14754098,34.42622951,2010-08,233.0
Sunshine Coast,Sydney,17.5257732,14.43298969,2010-08,279.0
Sydney,Adelaide,5.128205128,10.25641026,2010-08,
Sydney,Ballina,17.14285714,14.28571429,2010-08,
Sydney,Brisbane,14.47368421,13.15789474,2010-08,
Sydney,Cairns,6.12244898,8.163265306,2010-08,
Sydney,Gold Coast,13.28413284,19.18819188,2010-08,
Sydney,Hamilton Island,12.90322581,19.35483871,2010-08,
Sydney,Hobart,20.40816327,24.48979592,2010-08,
Sydney,Launceston,19.35483871,19.35483871,2010-08,
Sydney,Melbourne,13.63636364,23.37662338,2010-08,
Sydney,Perth,19.35483871,32.25806452,2010-08,
Sydney,Sunshine Coast,9.183673469,12.24489796,2010-08,
Sydney,Townsville,13.04347826,17.39130435,2010-08,386.0
Townsville,Brisbane,22.58064516,32.25806452,2010-08,
Townsville,Sydney,17.39130435,13.04347826,2010-08,
Adelaide,Brisbane,6.796116505,9.708737864,2010-08,157.0
Adelaide,Canberra,6.12244898,4.081632653,2010-08,350.0
Adelaide,Melbourne,11.94539249,14.67576792,2010-08,87.0
Adelaide,Perth,7.75862069,10.34482759,2010-08,406.0
Adelaide,Sydney,11.67883212,10.58394161,2010-08,122.0
Alice Springs,Melbourne,25.80645161,9.677419355,2010-08,283.0
Brisbane,Adelaide,7.766990291,4.854368932,2010-08,
Brisbane,Cairns,13.70967742,8.870967742000001,2010-08,392.0
Brisbane,Canberra,5.442176871,3.4013605439999997,2010-08,322.0
Brisbane,Darwin,3.225806452,12.90322581,2010-08,505.0
Brisbane,Melbourne,10.50228311,12.32876712,2010-08,165.0
Brisbane,Perth,17.74193548,19.35483871,2010-08,646.0
Brisbane,Sydney,21.16040956,19.45392491,2010-08,209.0
Brisbane,Townsville,13.41463415,15.24390244,2010-08,293.0
Broome,Perth,26.19047619,21.42857143,2010-08,657.0
Cairns,Brisbane,10.48387097,9.677419355,2010-08,
Cairns,Melbourne,37.93103448,31.03448276,2010-08,688.0
Cairns,Sydney,13.51351351,9.90990991,2010-08,560.0
Canberra,Adelaide,3.7735849060000004,5.660377358,2010-08,
Canberra,Brisbane,5.442176871,10.20408163,2010-08,
Canberra,Melbourne,6.106870229,10.6870229,2010-08,123.0
Canberra,Sydney,8.474576271,10.16949153,2010-08,223.0
Darwin,Brisbane,34.48275862,17.24137931,2010-08,
Darwin,Perth,6.451612902999999,12.90322581,2010-08,674.0
Hobart,Melbourne,0.0,1.612903226,2010-08,131.0
Hobart,Sydney,12.90322581,9.677419355,2010-08,265.0
Kalgoorlie,Perth,13.63636364,11.36363636,2010-08,509.0
Karratha,Perth,13.63636364,20.12987013,2010-08,454.0
Melbourne,Adelaide,9.215017065,15.35836177,2010-08,
Melbourne,Alice Springs,19.35483871,16.12903226,2010-08,
Melbourne,Brisbane,12.55707763,10.95890411,2010-08,
Melbourne,Cairns,12.90322581,22.58064516,2010-08,
Melbourne,Canberra,6.818181817999999,6.4393939389999995,2010-08,
Melbourne,Hobart,22.58064516,17.74193548,2010-08,
Melbourne,Perth,22.84263959,21.82741117,2010-08,392.0
Melbourne,Sydney,18.48072562,15.53287982,2010-08,108.0
Perth,Adelaide,12.28070175,17.54385965,2010-08,
Perth,Brisbane,22.95081967,18.03278689,2010-08,
Perth,Broome,21.42857143,14.28571429,2010-08,
Perth,Darwin,6.451612902999999,6.451612902999999,2010-08,
Perth,Kalgoorlie,9.302325581,11.62790698,2010-08,
Perth,Karratha,14.28571429,12.98701299,2010-08,
Perth,Melbourne,22.84263959,20.81218274,2010-08,
Perth,Port Hedland,7.407407407000001,9.259259259,2010-08,505.0
Perth,Sydney,22.07792208,12.98701299,2010-08,533.0
Port Hedland,Perth,12.72727273,12.72727273,2010-08,
Sydney,Adelaide,10.14492754,13.76811594,2010-08,
Sydney,Brisbane,9.621993127,15.29209622,2010-08,
Sydney,Cairns,13.51351351,12.61261261,2010-08,
Sydney,Canberra,8.743169399,10.38251366,2010-08,
Sydney,Hobart,3.225806452,0.0,2010-08,
Sydney,Melbourne,14.46613088,17.68082664,2010-08,
Sydney,Perth,13.73390558,20.17167382,2010-08,
Townsville,Brisbane,12.12121212,14.54545455,2010-08,
Adelaide,Melbourne,5.555555556,11.11111111,2010-08,87.0
Adelaide,Port Lincoln,10.0,17.77777778,2010-08,251.0
Albury,Sydney,35.29411765,33.61344538,2010-08,264.0
Brisbane,Canberra,7.142857143,14.28571429,2010-08,322.0
Brisbane,Mackay,17.39130435,28.26086957,2010-08,209.0
Brisbane,Newcastle,15.94202899,42.02898551,2010-08,166.0
Brisbane,Rockhampton,21.15384615,26.44230769,2010-08,84.0
Broome,Perth,20.45454545,15.90909091,2010-08,657.0
Cairns,Townsville,21.42857143,25.0,2010-08,195.0
Canberra,Brisbane,35.71428571,28.57142857,2010-08,
Canberra,Melbourne,9.375,12.5,2010-08,123.0
Canberra,Sydney,17.84386617,17.84386617,2010-08,223.0
Coffs Harbour,Sydney,15.60283688,18.43971631,2010-08,268.0
Dubbo,Sydney,29.09090909,29.09090909,2010-08,352.0
Kalgoorlie,Perth,19.60784314,19.60784314,2010-08,509.0
Karratha,Perth,3.7735849060000004,7.547169811,2010-08,454.0
Launceston,Melbourne,16.21621622,21.62162162,2010-08,195.0
Mackay,Brisbane,20.0,20.0,2010-08,
Melbourne,Adelaide,16.66666667,33.33333333,2010-08,
Melbourne,Canberra,13.33333333,16.66666667,2010-08,
Melbourne,Launceston,17.80821918,35.61643836,2010-08,
Melbourne,Mildura,16.85393258,23.59550562,2010-08,279.0
