departure_port,arrival_port,real_fare_(AUD),Date
Brisbane,Rockhampton,252,2021-02
Brisbane,Sydney,197,2021-02
Brisbane,Townsville,241,2021-02
Brisbane,Newcastle,164,2021-02
Broome,Perth,471,2021-02
Bundaberg,Brisbane,390,2021-02
Cairns,Gold Coast,249,2021-02
Cairns,Melbourne,409,2021-02
Cairns,Sydney,333,2021-02
Cairns,Townsville,369,2021-02
Canberra,Melbourne,367,2021-02
Canberra,Sydney,367,2021-02
Coffs Harbour,Sydney,247,2021-02
Darwin,Melbourne,596,2021-02
Darwin,Perth,663,2021-02
Darwin,Sydney,485,2021-02
Devonport,Melbourne,409,2021-02
Dubbo,Sydney,386,2021-02
Gold Coast,Sydney,163,2021-02
Hamilton Island,Sydney,335,2021-02
Hobart,Melbourne,113,2021-02
Hobart,Sydney,237,2021-02
Kalgoorlie,Perth,390,2021-02
Karratha,Perth,690,2021-02
Launceston,Melbourne,152,2021-02
Launceston,Sydney,221,2021-02
Sunshine Coast,Melbourne,373,2021-02
Sunshine Coast,Sydney,214,2021-02
Melbourne,Gold Coast,238,2021-02
Melbourne,Mildura,386,2021-02
Melbourne,Perth,483,2021-02
Melbourne,Sydney,154,2021-02
Melbourne,Townsville,381,2021-02
Melbourne,Newcastle,154,2021-02
Paraburdoo,Perth,815,2021-02
Perth,Newman,610,2021-02
Perth,Port Hedland,506,2021-02
Perth,Sydney,593,2021-02
Port Macquarie,Sydney,386,2021-02
Sydney,Tamworth,342,2021-02
Sydney,Townsville,331,2021-02
Sydney,Wagga Wagga,343,2021-02
Newcastle,Gold Coast,193,2021-02
Adelaide,Alice Springs,447,2021-12
Adelaide,Brisbane,357,2021-12
Adelaide,Canberra,442,2021-12
Adelaide,Darwin,325,2021-12
Adelaide,Gold Coast,222,2021-12
Adelaide,Melbourne,92,2021-12
Adelaide,Perth,487,2021-12
Adelaide,Port Lincoln,300,2021-12
Adelaide,Sydney,256,2021-12
Albury,Sydney,331,2021-12
Armidale,Sydney,289,2021-12
Avalon,Gold Coast,281,2021-12
Avalon,Sydney,116,2021-12
Ayers Rock,Sydney,249,2021-12
Ballina,Sydney,150,2021-12
Brisbane,Cairns,195,2021-12
Brisbane,Canberra,364,2021-12
Brisbane,Darwin,357,2021-12
Brisbane,Emerald,386,2021-12
Brisbane,Gladstone,402,2021-12
Brisbane,Hamilton Island,258,2021-12
Brisbane,Hobart,177,2021-12
Brisbane,Mackay,199,2021-12
Brisbane,Melbourne,146,2021-12
Brisbane,Mount Isa,745,2021-12
Brisbane,Perth,644,2021-12
Brisbane,Proserpine,165,2021-12
Brisbane,Rockhampton,245,2021-12
Brisbane,Sydney,123,2021-12
Brisbane,Townsville,274,2021-12
Brisbane,Newcastle,167,2021-12
Broome,Perth,424,2021-12
Bundaberg,Brisbane,386,2021-12
Cairns,Gold Coast,290,2021-12
Cairns,Melbourne,245,2021-12
Cairns,Sydney,258,2021-12
Cairns,Townsville,359,2021-12
Canberra,Melbourne,256,2021-12
Canberra,Sydney,191,2021-12
Coffs Harbour,Sydney,222,2021-12
Darwin,Melbourne,783,2021-12
Darwin,Perth,783,2021-12
Darwin,Sydney,364,2021-12
Devonport,Melbourne,301,2021-12
Dubbo,Sydney,404,2021-12
Gold Coast,Sydney,99,2021-12
Hamilton Island,Sydney,263,2021-12
Hobart,Melbourne,164,2021-12
Hobart,Sydney,128,2021-12
Kalgoorlie,Perth,465,2021-12
Karratha,Perth,604,2021-12
Launceston,Melbourne,90,2021-12
Launceston,Sydney,136,2021-12
Sunshine Coast,Melbourne,162,2021-12
Sunshine Coast,Sydney,119,2021-12
Melbourne,Gold Coast,175,2021-12
Melbourne,Mildura,411,2021-12
Melbourne,Perth,973,2021-12
Melbourne,Sydney,123,2021-12
Melbourne,Townsville,288,2021-12
Melbourne,Newcastle,157,2021-12
Paraburdoo,Perth,792,2021-12
Perth,Newman,716,2021-12
Perth,Port Hedland,716,2021-12
Perth,Sydney,880,2021-12
Port Macquarie,Sydney,289,2021-12
Sydney,Tamworth,332,2021-12
Sydney,Townsville,236,2021-12
Sydney,Wagga Wagga,379,2021-12
Newcastle,Gold Coast,160,2021-12
Adelaide,Alice Springs,475,2021-08
Adelaide,Brisbane,248,2021-08
Adelaide,Canberra,418,2021-08
Adelaide,Darwin,669,2021-08
Adelaide,Gold Coast,205,2021-08
Adelaide,Melbourne,111,2021-08
Adelaide,Perth,330,2021-08
Adelaide,Port Lincoln,303,2021-08
Adelaide,Sydney,143,2021-08
Albury,Sydney,304,2021-08
Armidale,Sydney,293,2021-08
Avalon,Gold Coast,221,2021-08
Ballina,Sydney,148,2021-08
Brisbane,Cairns,202,2021-08
Brisbane,Canberra,384,2021-08
Brisbane,Darwin,437,2021-08
Brisbane,Emerald,459,2021-08
Brisbane,Gladstone,255,2021-08
Brisbane,Hamilton Island,323,2021-08
Brisbane,Hobart,375,2021-08
Brisbane,Mackay,218,2021-08
Brisbane,Melbourne,247,2021-08
Brisbane,Mount Isa,755,2021-08
Brisbane,Perth,625,2021-08
Brisbane,Proserpine,288,2021-08
Brisbane,Rockhampton,312,2021-08
Brisbane,Sydney,221,2021-08
Brisbane,Townsville,251,2021-08
Brisbane,Newcastle,193,2021-08
Broome,Perth,714,2021-08
Bundaberg,Brisbane,384,2021-08
Cairns,Gold Coast,252,2021-08
Cairns,Melbourne,285,2021-08
Cairns,Sydney,246,2021-08
Cairns,Townsville,364,2021-08
Canberra,Melbourne,191,2021-08
Canberra,Sydney,965,2021-08
Coffs Harbour,Sydney,339,2021-08
Darwin,Melbourne,578,2021-08
Darwin,Perth,721,2021-08
Devonport,Melbourne,331,2021-08
Dubbo,Sydney,441,2021-08
Gold Coast,Sydney,125,2021-08
Hamilton Island,Sydney,280,2021-08
Hobart,Melbourne,160,2021-08
Hobart,Sydney,130,2021-08
Kalgoorlie,Perth,453,2021-08
Karratha,Perth,612,2021-08
Launceston,Melbourne,91,2021-08
Launceston,Sydney,155,2021-08
Sunshine Coast,Melbourne,271,2021-08
Sunshine Coast,Sydney,159,2021-08
Melbourne,Gold Coast,130,2021-08
Melbourne,Mildura,338,2021-08
Melbourne,Perth,441,2021-08
Melbourne,Sydney,68,2021-08
Melbourne,Townsville,258,2021-08
Melbourne,Newcastle,150,2021-08
Paraburdoo,Perth,803,2021-08
Perth,Newman,725,2021-08
Perth,Port Hedland,544,2021-08
Perth,Sydney,580,2021-08
Port Macquarie,Sydney,380,2021-08
Sydney,Tamworth,337,2021-08
Sydney,Wagga Wagga,225,2021-08
Adelaide,Alice Springs,411,2021-04
Adelaide,Brisbane,249,2021-04
Adelaide,Canberra,449,2021-04
Adelaide,Darwin,754,2021-04
Adelaide,Gold Coast,332,2021-04
Adelaide,Melbourne,112,2021-04
Adelaide,Perth,332,2021-04
Adelaide,Port Lincoln,306,2021-04
Adelaide,Sydney,144,2021-04
Albury,Sydney,340,2021-04
Armidale,Sydney,318,2021-04
Avalon,Gold Coast,151,2021-04
Avalon,Sydney,102,2021-04
Ayers Rock,Sydney,555,2021-04
Ballina,Sydney,118,2021-04
Brisbane,Cairns,330,2021-04
Brisbane,Canberra,525,2021-04
Brisbane,Darwin,742,2021-04
Brisbane,Emerald,390,2021-04
Brisbane,Gladstone,250,2021-04
Brisbane,Hamilton Island,451,2021-04
Brisbane,Hobart,375,2021-04
Brisbane,Mackay,248,2021-04
Brisbane,Melbourne,199,2021-04
Brisbane,Mount Isa,662,2021-04
Brisbane,Perth,635,2021-04
Brisbane,Proserpine,307,2021-04
Brisbane,Rockhampton,314,2021-04
Brisbane,Sydney,160,2021-04
Brisbane,Townsville,333,2021-04
Brisbane,Newcastle,231,2021-04
Broome,Perth,612,2021-04
Bundaberg,Brisbane,341,2021-04
Cairns,Gold Coast,291,2021-04
Cairns,Melbourne,267,2021-04
Cairns,Sydney,272,2021-04
Cairns,Townsville,320,2021-04
Canberra,Melbourne,348,2021-04
Canberra,Sydney,227,2021-04
Coffs Harbour,Sydney,305,2021-04
Darwin,Melbourne,815,2021-04
Darwin,Perth,1414,2021-04
Darwin,Sydney,858,2021-04
Devonport,Melbourne,305,2021-04
Dubbo,Sydney,383,2021-04
Gold Coast,Sydney,101,2021-04
Hamilton Island,Sydney,298,2021-04
Hobart,Melbourne,108,2021-04
Hobart,Sydney,131,2021-04
Kalgoorlie,Perth,376,2021-04
Karratha,Perth,685,2021-04
Launceston,Melbourne,92,2021-04
Launceston,Sydney,181,2021-04
Sunshine Coast,Melbourne,369,2021-04
Sunshine Coast,Sydney,197,2021-04
Melbourne,Gold Coast,149,2021-04
Melbourne,Mildura,340,2021-04
Melbourne,Perth,456,2021-04
Melbourne,Sydney,152,2021-04
Melbourne,Townsville,386,2021-04
Melbourne,Newcastle,180,2021-04
Paraburdoo,Perth,690,2021-04
Perth,Newman,616,2021-04
Perth,Port Hedland,513,2021-04
Perth,Sydney,401,2021-04
Port Macquarie,Sydney,318,2021-04
Sydney,Tamworth,306,2021-04
Sydney,Townsville,442,2021-04
Sydney,Wagga Wagga,340,2021-04
Newcastle,Gold Coast,225,2021-04
Adelaide,Alice Springs,548,2020-09
Adelaide,Brisbane,349,2020-09
Adelaide,Canberra,642,2020-09
Adelaide,Darwin,724,2020-09
Adelaide,Gold Coast,301,2020-09
Adelaide,Melbourne,155,2020-09
Adelaide,Perth,677,2020-09
Adelaide,Port Lincoln,305,2020-09
Adelaide,Sydney,207,2020-09
Albury,Sydney,346,2020-09
Armidale,Sydney,329,2020-09
Ballina,Sydney,218,2020-09
Brisbane,Cairns,326,2020-09
Brisbane,Canberra,504,2020-09
Brisbane,Darwin,281,2020-09
Brisbane,Emerald,485,2020-09
Brisbane,Gladstone,330,2020-09
Brisbane,Hamilton Island,579,2020-09
Brisbane,Hobart,355,2020-09
Brisbane,Mackay,194,2020-09
Brisbane,Melbourne,266,2020-09
Brisbane,Mount Isa,864,2020-09
Brisbane,Perth,808,2020-09
Brisbane,Proserpine,200,2020-09
Brisbane,Rockhampton,326,2020-09
Brisbane,Sydney,200,2020-09
Brisbane,Townsville,226,2020-09
Brisbane,Newcastle,190,2020-09
Broome,Perth,867,2020-09
Bundaberg,Brisbane,431,2020-09
Cairns,Gold Coast,288,2020-09
Cairns,Melbourne,636,2020-09
Cairns,Sydney,518,2020-09
Cairns,Townsville,279,2020-09
Canberra,Melbourne,443,2020-09
Canberra,Sydney,450,2020-09
Coffs Harbour,Sydney,293,2020-09
Darwin,Melbourne,507,2020-09
Darwin,Perth,700,2020-09
Dubbo,Sydney,359,2020-09
Gold Coast,Sydney,286,2020-09
Hobart,Melbourne,165,2020-09
Hobart,Sydney,235,2020-09
Kalgoorlie,Perth,419,2020-09
Karratha,Perth,864,2020-09
Launceston,Melbourne,323,2020-09
Launceston,Sydney,169,2020-09
Sunshine Coast,Sydney,302,2020-09
Melbourne,Mildura,346,2020-09
Melbourne,Perth,724,2020-09
Melbourne,Sydney,227,2020-09
Paraburdoo,Perth,854,2020-09
Perth,Newman,771,2020-09
Perth,Port Hedland,674,2020-09
Perth,Sydney,789,2020-09
Port Macquarie,Sydney,417,2020-09
Sydney,Tamworth,344,2020-09
Sydney,Townsville,399,2020-09
Sydney,Wagga Wagga,351,2020-09
Adelaide,Alice Springs,544,2020-10
Adelaide,Brisbane,427,2020-10
Adelaide,Canberra,646,2020-10
Adelaide,Darwin,481,2020-10
Adelaide,Gold Coast,366,2020-10
Adelaide,Melbourne,175,2020-10
Adelaide,Perth,671,2020-10
Adelaide,Port Lincoln,304,2020-10
Adelaide,Sydney,304,2020-10
Albury,Sydney,345,2020-10
Armidale,Sydney,328,2020-10
Ayers Rock,Sydney,323,2020-10
Ballina,Sydney,324,2020-10
Brisbane,Cairns,225,2020-10
Brisbane,Canberra,633,2020-10
Brisbane,Darwin,318,2020-10
Brisbane,Emerald,427,2020-10
Brisbane,Gladstone,293,2020-10
Brisbane,Hamilton Island,705,2020-10
Brisbane,Hobart,352,2020-10
Brisbane,Mackay,186,2020-10
Brisbane,Melbourne,276,2020-10
Brisbane,Mount Isa,892,2020-10
Brisbane,Perth,857,2020-10
Brisbane,Proserpine,273,2020-10
Brisbane,Rockhampton,323,2020-10
Brisbane,Sydney,192,2020-10
Brisbane,Townsville,238,2020-10
Brisbane,Newcastle,180,2020-10
Broome,Perth,753,2020-10
Bundaberg,Brisbane,427,2020-10
Cairns,Gold Coast,244,2020-10
Cairns,Melbourne,290,2020-10
Cairns,Sydney,309,2020-10
Cairns,Townsville,279,2020-10
Canberra,Melbourne,531,2020-10
Canberra,Sydney,492,2020-10
Coffs Harbour,Sydney,290,2020-10
Darwin,Melbourne,348,2020-10
Darwin,Perth,694,2020-10
Darwin,Sydney,365,2020-10
Dubbo,Sydney,358,2020-10
Gold Coast,Sydney,164,2020-10
Hamilton Island,Sydney,718,2020-10
Hobart,Melbourne,174,2020-10
Hobart,Sydney,253,2020-10
Kalgoorlie,Perth,416,2020-10
Karratha,Perth,780,2020-10
Launceston,Melbourne,294,2020-10
Launceston,Sydney,180,2020-10
Sunshine Coast,Melbourne,334,2020-10
Sunshine Coast,Sydney,172,2020-10
Melbourne,Gold Coast,289,2020-10
Melbourne,Mildura,346,2020-10
Melbourne,Perth,718,2020-10
Melbourne,Sydney,216,2020-10
Melbourne,Townsville,302,2020-10
Melbourne,Newcastle,154,2020-10
Paraburdoo,Perth,818,2020-10
Perth,Newman,764,2020-10
Perth,Port Hedland,668,2020-10
Perth,Sydney,783,2020-10
Port Macquarie,Sydney,374,2020-10
Proserpine,Sydney,207,2020-10
Sydney,Tamworth,386,2020-10
Sydney,Townsville,310,2020-10
Sydney,Wagga Wagga,351,2020-10
Newcastle,Gold Coast,150,2020-10
Adelaide,Alice Springs,544,2020-11
Adelaide,Brisbane,423,2020-11
Adelaide,Canberra,693,2020-11
Adelaide,Darwin,683,2020-11
Adelaide,Gold Coast,462,2020-11
Adelaide,Melbourne,192,2020-11
Adelaide,Perth,787,2020-11
Adelaide,Port Lincoln,304,2020-11
Adelaide,Sydney,251,2020-11
Albury,Sydney,347,2020-11
Armidale,Sydney,356,2020-11
Ayers Rock,Sydney,393,2020-11
Ballina,Sydney,206,2020-11
Brisbane,Cairns,256,2020-11
Brisbane,Canberra,665,2020-11
Brisbane,Darwin,511,2020-11
Brisbane,Emerald,369,2020-11
Brisbane,Gladstone,253,2020-11
Brisbane,Hamilton Island,418,2020-11
Brisbane,Hobart,628,2020-11
Brisbane,Mackay,264,2020-11
Brisbane,Melbourne,252,2020-11
Brisbane,Mount Isa,858,2020-11
Brisbane,Perth,857,2020-11
Brisbane,Proserpine,307,2020-11
Brisbane,Rockhampton,323,2020-11
Brisbane,Sydney,199,2020-11
Brisbane,Townsville,300,2020-11
Brisbane,Newcastle,159,2020-11
Broome,Perth,699,2020-11
Bundaberg,Brisbane,390,2020-11
Cairns,Gold Coast,274,2020-11
Cairns,Sydney,322,2020-11
Cairns,Townsville,369,2020-11
Canberra,Melbourne,439,2020-11
Canberra,Sydney,446,2020-11
Coffs Harbour,Sydney,290,2020-11
Darwin,Melbourne,404,2020-11
Darwin,Perth,694,2020-11
Darwin,Sydney,444,2020-11
Dubbo,Sydney,423,2020-11
Gold Coast,Sydney,164,2020-11
Hobart,Melbourne,153,2020-11
Hobart,Sydney,232,2020-11
Kalgoorlie,Perth,416,2020-11
Karratha,Perth,864,2020-11
Launceston,Melbourne,361,2020-11
Launceston,Sydney,242,2020-11
Sunshine Coast,Sydney,178,2020-11
Melbourne,Mildura,346,2020-11
Melbourne,Perth,718,2020-11
Melbourne,Sydney,276,2020-11
Melbourne,Townsville,302,2020-11
Melbourne,Newcastle,204,2020-11
Paraburdoo,Perth,818,2020-11
Perth,Newman,822,2020-11
Perth,Port Hedland,668,2020-11
Perth,Sydney,764,2020-11
Port Macquarie,Sydney,386,2020-11
Proserpine,Sydney,265,2020-11
Sydney,Tamworth,341,2020-11
Sydney,Townsville,289,2020-11
Sydney,Wagga Wagga,439,2020-11
Newcastle,Gold Coast,229,2020-11
Adelaide,Melbourne,155,2020-05
Adelaide,Port Lincoln,362,2020-05
Adelaide,Sydney,193,2020-05
Albury,Sydney,399,2020-05
Armidale,Sydney,407,2020-05
Ballina,Sydney,184,2020-05
Brisbane,Cairns,231,2020-05
Brisbane,Canberra,559,2020-05
Brisbane,Darwin,773,2020-05
Brisbane,Emerald,493,2020-05
Brisbane,Gladstone,388,2020-05
Brisbane,Mackay,418,2020-05
Brisbane,Melbourne,269,2020-05
Brisbane,Mount Isa,945,2020-05
Brisbane,Rockhampton,366,2020-05
Brisbane,Sydney,171,2020-05
Brisbane,Townsville,244,2020-05
Broome,Perth,631,2020-05
Cairns,Townsville,334,2020-05
Canberra,Melbourne,450,2020-05
Canberra,Sydney,457,2020-05
Coffs Harbour,Sydney,340,2020-05
Dubbo,Sydney,445,2020-05
Gold Coast,Sydney,259,2020-05
Hobart,Melbourne,180,2020-05
Kalgoorlie,Perth,450,2020-05
Karratha,Perth,1054,2020-05
Launceston,Melbourne,554,2020-05
Melbourne,Mildura,416,2020-05
Melbourne,Perth,735,2020-05
Melbourne,Sydney,228,2020-05
Paraburdoo,Perth,838,2020-05
Perth,Newman,783,2020-05
Perth,Port Hedland,434,2020-05
Perth,Sydney,923,2020-05
Sydney,Tamworth,350,2020-05
Sydney,Wagga Wagga,435,2020-05
Adelaide,Alice Springs,606,2020-03
Adelaide,Brisbane,448,2020-03
Adelaide,Canberra,640,2020-03
Adelaide,Darwin,593,2020-03
Adelaide,Gold Coast,393,2020-03
Adelaide,Melbourne,225,2020-03
Adelaide,Perth,611,2020-03
Adelaide,Port Lincoln,304,2020-03
Adelaide,Sydney,327,2020-03
Albury,Sydney,360,2020-03
Armidale,Sydney,399,2020-03
Avalon,Sydney,229,2020-03
Ayers Rock,Sydney,451,2020-03
Ballina,Sydney,343,2020-03
Brisbane,Cairns,248,2020-03
Brisbane,Canberra,409,2020-03
Brisbane,Darwin,810,2020-03
Brisbane,Emerald,625,2020-03
Brisbane,Gladstone,329,2020-03
Brisbane,Hamilton Island,873,2020-03
Brisbane,Hobart,504,2020-03
Brisbane,Mackay,342,2020-03
Brisbane,Melbourne,371,2020-03
Brisbane,Mount Isa,1013,2020-03
Brisbane,Perth,951,2020-03
Brisbane,Proserpine,200,2020-03
Brisbane,Rockhampton,360,2020-03
Brisbane,Sydney,277,2020-03
Brisbane,Townsville,307,2020-03
Brisbane,Newcastle,189,2020-03
Broome,Perth,835,2020-03
Bundaberg,Brisbane,349,2020-03
Cairns,Gold Coast,304,2020-03
Cairns,Melbourne,473,2020-03
Cairns,Sydney,530,2020-03
Cairns,Townsville,327,2020-03
Canberra,Melbourne,284,2020-03
Canberra,Sydney,371,2020-03
Coffs Harbour,Sydney,315,2020-03
Darwin,Melbourne,477,2020-03
Darwin,Perth,921,2020-03
Darwin,Sydney,769,2020-03
Devonport,Melbourne,474,2020-03
Dubbo,Sydney,458,2020-03
Gold Coast,Sydney,214,2020-03
Hamilton Island,Sydney,850,2020-03
Hobart,Melbourne,231,2020-03
Hobart,Sydney,467,2020-03
Kalgoorlie,Perth,441,2020-03
Karratha,Perth,746,2020-03
Launceston,Melbourne,238,2020-03
Launceston,Sydney,511,2020-03
Sunshine Coast,Melbourne,497,2020-03
Sunshine Coast,Sydney,404,2020-03
Melbourne,Gold Coast,292,2020-03
Melbourne,Mildura,339,2020-03
Melbourne,Perth,588,2020-03
Melbourne,Sydney,219,2020-03
Melbourne,Townsville,505,2020-03
Melbourne,Newcastle,222,2020-03
Paraburdoo,Perth,851,2020-03
Perth,Newman,826,2020-03
Perth,Port Hedland,754,2020-03
Perth,Sydney,741,2020-03
Port Macquarie,Sydney,416,2020-03
Proserpine,Sydney,710,2020-03
Sydney,Tamworth,315,2020-03
Sydney,Townsville,403,2020-03
Sydney,Wagga Wagga,402,2020-03
Newcastle,Gold Coast,313,2020-03
Adelaide,Melbourne,169,2020-06
Adelaide,Perth,688,2020-06
Adelaide,Port Lincoln,312,2020-06
Adelaide,Sydney,240,2020-06
Albury,Sydney,354,2020-06
Armidale,Sydney,407,2020-06
Ballina,Sydney,214,2020-06
Brisbane,Cairns,414,2020-06
Brisbane,Canberra,559,2020-06
Brisbane,Emerald,753,2020-06
Brisbane,Gladstone,244,2020-06
Brisbane,Mackay,386,2020-06
Brisbane,Melbourne,412,2020-06
Brisbane,Mount Isa,989,2020-06
Brisbane,Rockhampton,371,2020-06
Brisbane,Sydney,219,2020-06
Brisbane,Townsville,577,2020-06
Broome,Perth,803,2020-06
Cairns,Townsville,335,2020-06
Canberra,Melbourne,450,2020-06
Canberra,Sydney,457,2020-06
Coffs Harbour,Sydney,340,2020-06
Dubbo,Sydney,409,2020-06
Gold Coast,Sydney,259,2020-06
Hobart,Melbourne,165,2020-06
Kalgoorlie,Perth,515,2020-06
Karratha,Perth,878,2020-06
Launceston,Melbourne,327,2020-06
Melbourne,Mildura,354,2020-06
Melbourne,Perth,735,2020-06
Melbourne,Sydney,226,2020-06
Melbourne,Newcastle,174,2020-06
Perth,Newman,842,2020-06
Perth,Port Hedland,968,2020-06
Perth,Sydney,923,2020-06
Port Macquarie,Sydney,383,2020-06
Sydney,Tamworth,350,2020-06
Sydney,Wagga Wagga,435,2020-06
Adelaide,Alice Springs,443,2020-07
Adelaide,Brisbane,547,2020-07
Adelaide,Canberra,700,2020-07
Adelaide,Darwin,1216,2020-07
Adelaide,Gold Coast,395,2020-07
Adelaide,Melbourne,157,2020-07
Adelaide,Perth,677,2020-07
Adelaide,Port Lincoln,307,2020-07
Adelaide,Sydney,176,2020-07
Albury,Sydney,348,2020-07
Armidale,Sydney,330,2020-07
Ballina,Sydney,192,2020-07
Brisbane,Cairns,298,2020-07
Brisbane,Canberra,696,2020-07
Brisbane,Darwin,801,2020-07
Brisbane,Emerald,627,2020-07
Brisbane,Gladstone,240,2020-07
Brisbane,Hobart,362,2020-07
Brisbane,Mackay,302,2020-07
Brisbane,Melbourne,269,2020-07
Brisbane,Mount Isa,551,2020-07
Brisbane,Perth,808,2020-07
Brisbane,Proserpine,274,2020-07
Brisbane,Rockhampton,321,2020-07
Brisbane,Sydney,177,2020-07
Brisbane,Townsville,264,2020-07
Brisbane,Newcastle,169,2020-07
Broome,Perth,716,2020-07
Bundaberg,Brisbane,303,2020-07
Cairns,Melbourne,621,2020-07
Cairns,Sydney,361,2020-07
Cairns,Townsville,281,2020-07
Canberra,Melbourne,321,2020-07
Canberra,Sydney,376,2020-07
Coffs Harbour,Sydney,255,2020-07
Darwin,Melbourne,458,2020-07
Darwin,Perth,700,2020-07
Darwin,Sydney,882,2020-07
Dubbo,Sydney,361,2020-07
Gold Coast,Sydney,164,2020-07
Hobart,Melbourne,172,2020-07
Hobart,Sydney,246,2020-07
Kalgoorlie,Perth,396,2020-07
Karratha,Perth,733,2020-07
Launceston,Melbourne,149,2020-07
Launceston,Sydney,162,2020-07
Sunshine Coast,Melbourne,410,2020-07
Sunshine Coast,Sydney,363,2020-07
Melbourne,Gold Coast,233,2020-07
Melbourne,Mildura,349,2020-07
Melbourne,Perth,813,2020-07
Melbourne,Sydney,205,2020-07
Melbourne,Townsville,274,2020-07
Melbourne,Newcastle,150,2020-07
Perth,Newman,513,2020-07
Perth,Port Hedland,513,2020-07
Perth,Sydney,789,2020-07
Port Macquarie,Sydney,367,2020-07
Proserpine,Sydney,255,2020-07
Sydney,Tamworth,310,2020-07
Sydney,Townsville,375,2020-07
Sydney,Wagga Wagga,354,2020-07
Newcastle,Gold Coast,162,2020-07
Adelaide,Alice Springs,535,2020-01
Adelaide,Brisbane,313,2020-01
Adelaide,Canberra,593,2020-01
Adelaide,Darwin,378,2020-01
Adelaide,Gold Coast,287,2020-01
Adelaide,Melbourne,161,2020-01
Adelaide,Perth,489,2020-01
Adelaide,Port Lincoln,306,2020-01
Adelaide,Sydney,228,2020-01
Albury,Sydney,325,2020-01
Armidale,Sydney,328,2020-01
Avalon,Sydney,152,2020-01
Ayers Rock,Sydney,259,2020-01
Ballina,Sydney,152,2020-01
Brisbane,Cairns,262,2020-01
Brisbane,Canberra,245,2020-01
Brisbane,Darwin,308,2020-01
Brisbane,Emerald,530,2020-01
Brisbane,Gladstone,257,2020-01
Brisbane,Hamilton Island,339,2020-01
Brisbane,Hobart,362,2020-01
Brisbane,Mackay,245,2020-01
Brisbane,Melbourne,238,2020-01
Brisbane,Mount Isa,899,2020-01
Brisbane,Perth,770,2020-01
Brisbane,Proserpine,224,2020-01
Brisbane,Rockhampton,355,2020-01
Brisbane,Sydney,175,2020-01
Brisbane,Townsville,244,2020-01
Brisbane,Newcastle,148,2020-01
Broome,Perth,605,2020-01
Bundaberg,Brisbane,329,2020-01
Cairns,Gold Coast,283,2020-01
Cairns,Melbourne,453,2020-01
Cairns,Sydney,404,2020-01
Cairns,Townsville,280,2020-01
Canberra,Melbourne,226,2020-01
Canberra,Sydney,231,2020-01
Coffs Harbour,Sydney,175,2020-01
Darwin,Melbourne,371,2020-01
Darwin,Perth,511,2020-01
Darwin,Sydney,371,2020-01
Devonport,Melbourne,442,2020-01
Dubbo,Sydney,419,2020-01
Gold Coast,Sydney,155,2020-01
Hamilton Island,Sydney,459,2020-01
Hobart,Melbourne,196,2020-01
Hobart,Sydney,311,2020-01
Kalgoorlie,Perth,441,2020-01
Karratha,Perth,663,2020-01
Launceston,Melbourne,149,2020-01
Launceston,Sydney,325,2020-01
Sunshine Coast,Melbourne,396,2020-01
Sunshine Coast,Sydney,248,2020-01
Melbourne,Gold Coast,221,2020-01
Melbourne,Mildura,245,2020-01
Melbourne,Perth,455,2020-01
Melbourne,Sydney,182,2020-01
Melbourne,Townsville,423,2020-01
Melbourne,Newcastle,183,2020-01
Paraburdoo,Perth,871,2020-01
Perth,Newman,745,2020-01
Perth,Port Hedland,465,2020-01
Perth,Sydney,455,2020-01
Port Macquarie,Sydney,325,2020-01
Proserpine,Sydney,430,2020-01
Sydney,Tamworth,315,2020-01
Sydney,Townsville,321,2020-01
Sydney,Wagga Wagga,404,2020-01
Newcastle,Gold Coast,218,2020-01
Adelaide,Alice Springs,546,2020-02
Adelaide,Brisbane,257,2020-02
Adelaide,Canberra,608,2020-02
Adelaide,Darwin,448,2020-02
Adelaide,Gold Coast,320,2020-02
Adelaide,Melbourne,195,2020-02
Adelaide,Perth,466,2020-02
Adelaide,Port Lincoln,304,2020-02
Adelaide,Sydney,231,2020-02
Albury,Sydney,360,2020-02
Armidale,Sydney,326,2020-02
Avalon,Sydney,128,2020-02
Ayers Rock,Sydney,259,2020-02
Ballina,Sydney,152,2020-02
Brisbane,Cairns,233,2020-02
Brisbane,Canberra,233,2020-02
Brisbane,Darwin,285,2020-02
Brisbane,Emerald,544,2020-02
Brisbane,Gladstone,255,2020-02
Brisbane,Hamilton Island,385,2020-02
Brisbane,Hobart,356,2020-02
Brisbane,Mackay,205,2020-02
Brisbane,Melbourne,231,2020-02
Brisbane,Mount Isa,908,2020-02
Brisbane,Perth,805,2020-02
Brisbane,Proserpine,290,2020-02
Brisbane,Rockhampton,325,2020-02
Brisbane,Sydney,175,2020-02
Brisbane,Townsville,225,2020-02
Brisbane,Newcastle,138,2020-02
Broome,Perth,619,2020-02
Bundaberg,Brisbane,329,2020-02
Cairns,Gold Coast,311,2020-02
Cairns,Melbourne,292,2020-02
Cairns,Sydney,292,2020-02
Cairns,Townsville,278,2020-02
Canberra,Melbourne,255,2020-02
Canberra,Sydney,371,2020-02
Coffs Harbour,Sydney,210,2020-02
Darwin,Melbourne,477,2020-02
Darwin,Perth,803,2020-02
Darwin,Sydney,473,2020-02
Devonport,Melbourne,442,2020-02
Dubbo,Sydney,458,2020-02
Gold Coast,Sydney,128,2020-02
Hamilton Island,Sydney,301,2020-02
