departure_port,arrival_port,real_fare_(AUD),Date
Avalon,Gold Coast,373,2023-10
Avalon,Sydney,130,2023-10
Ayers Rock,Sydney,820,2023-10
Ballina,Sydney,132,2023-10
Brisbane,Cairns,232,2023-10
Brisbane,Canberra,353,2023-10
Brisbane,Darwin,642,2023-10
Brisbane,Emerald,532,2023-10
Brisbane,Gladstone,379,2023-10
Brisbane,Hamilton Island,376,2023-10
Brisbane,Hobart,426,2023-10
Brisbane,Mackay,245,2023-10
Brisbane,Melbourne,263,2023-10
Brisbane,Mount Isa,820,2023-10
Brisbane,Perth,606,2023-10
Brisbane,Proserpine,448,2023-10
Brisbane,Rockhampton,448,2023-10
Brisbane,Sydney,185,2023-10
Brisbane,Townsville,456,2023-10
Brisbane,Newcastle,180,2023-10
Broome,Perth,544,2023-10
Bundaberg,Brisbane,419,2023-10
Cairns,Gold Coast,362,2023-10
Cairns,Melbourne,435,2023-10
Cairns,Sydney,345,2023-10
Cairns,Townsville,303,2023-10
Canberra,Melbourne,206,2023-10
Canberra,Sydney,441,2023-10
Coffs Harbour,Sydney,313,2023-10
Darwin,Melbourne,666,2023-10
Darwin,Perth,721,2023-10
Darwin,Sydney,481,2023-10
Devonport,Melbourne,438,2023-10
Dubbo,Sydney,331,2023-10
Gold Coast,Sydney,142,2023-10
Hamilton Island,Sydney,347,2023-10
Hobart,Melbourne,238,2023-10
Hobart,Sydney,226,2023-10
Kalgoorlie,Perth,552,2023-10
Karratha,Perth,897,2023-10
Launceston,Melbourne,158,2023-10
Launceston,Sydney,238,2023-10
Sunshine Coast,Melbourne,327,2023-10
Sunshine Coast,Sydney,167,2023-10
Melbourne,Gold Coast,275,2023-10
Melbourne,Mildura,277,2023-10
Melbourne,Perth,545,2023-10
Melbourne,Sydney,130,2023-10
Melbourne,Townsville,316,2023-10
Melbourne,Newcastle,262,2023-10
Paraburdoo,Perth,844,2023-10
Perth,Newman,838,2023-10
Perth,Port Hedland,679,2023-10
Perth,Sydney,688,2023-10
Port Macquarie,Sydney,256,2023-10
Sydney,Tamworth,370,2023-10
Sydney,Townsville,426,2023-10
Sydney,Wagga Wagga,331,2023-10
Newcastle,Gold Coast,243,2023-10
Adelaide,Alice Springs,710,2023-11
Adelaide,Brisbane,321,2023-11
Adelaide,Canberra,527,2023-11
Adelaide,Darwin,1378,2023-11
Adelaide,Gold Coast,547,2023-11
Adelaide,Melbourne,321,2023-11
Adelaide,Perth,434,2023-11
