Departing_Port,Arriving_Port,Month,Year,Average_Fare,Distance
Adelaide,Melbourne,9,2011,366.0,641.6529269409299
Adelaide,Perth,9,2011,674.0,2115.440208283999
Adelaide,Port Lincoln,9,2011,308.0,245.00141173119508
Adelaide,Sydney,9,2011,371.0,1164.1801497410133
Adelaide,Brisbane,10,2011,456.0,1619.982413941602
Adelaide,Canberra,10,2011,461.0,970.2290464494174
Adelaide,Gold Coast,10,2011,551.0,1604.1628403102109
Adelaide,Melbourne,10,2011,325.0,641.6529269409299
Adelaide,Perth,10,2011,606.0,2115.440208283999
Adelaide,Port Lincoln,10,2011,308.0,245.00141173119508
Adelaide,Sydney,10,2011,360.0,1164.1801497410133
Adelaide,Brisbane,11,2011,461.0,1619.982413941602
Adelaide,Canberra,11,2011,406.0,970.2290464494174
Adelaide,Gold Coast,11,2011,496.0,1604.1628403102109
Adelaide,Melbourne,11,2011,311.0,641.6529269409299
Adelaide,Perth,11,2011,555.0,2115.440208283999
Adelaide,Port Lincoln,11,2011,308.0,245.00141173119508
Adelaide,Sydney,11,2011,364.0,1164.1801497410133
Adelaide,Brisbane,12,2011,551.0,1619.982413941602
Adelaide,Canberra,12,2011,641.0,970.2290464494174
Adelaide,Gold Coast,12,2011,856.0,1604.1628403102109
Adelaide,Melbourne,12,2011,366.0,641.6529269409299
Adelaide,Perth,12,2011,816.0,2115.440208283999
Adelaide,Port Lincoln,12,2011,308.0,245.00141173119508
Adelaide,Sydney,12,2011,406.0,1164.1801497410133
Adelaide,Brisbane,1,2012,365.0,1619.982413941602
Adelaide,Canberra,1,2012,469.0,970.2290464494174
Adelaide,Gold Coast,1,2012,365.0,1604.1628403102109
Adelaide,Melbourne,1,2012,188.0,641.6529269409299
Adelaide,Perth,1,2012,447.0,2115.440208283999
Adelaide,Port Lincoln,1,2012,308.0,245.00141173119508
Adelaide,Sydney,1,2012,243.0,1164.1801497410133
Adelaide,Brisbane,2,2012,395.0,1619.982413941602
Adelaide,Canberra,2,2012,461.0,970.2290464494174
Adelaide,Gold Coast,2,2012,461.0,1604.1628403102109
Adelaide,Melbourne,2,2012,245.0,641.6529269409299
Adelaide,Perth,2,2012,501.0,2115.440208283999
Adelaide,Port Lincoln,2,2012,308.0,245.00141173119508
Adelaide,Sydney,2,2012,311.0,1164.1801497410133
Adelaide,Brisbane,3,2012,447.0,1619.982413941602
Adelaide,Canberra,3,2012,474.0,970.2290464494174
Adelaide,Gold Coast,3,2012,597.0,1604.1628403102109
Adelaide,Melbourne,3,2012,283.0,641.6529269409299
Adelaide,Perth,3,2012,556.0,2115.440208283999
Adelaide,Port Lincoln,3,2012,253.0,245.00141173119508
Adelaide,Sydney,3,2012,332.0,1164.1801497410133
Adelaide,Brisbane,4,2012,296.0,1619.982413941602
Adelaide,Canberra,4,2012,393.0,970.2290464494174
Adelaide,Gold Coast,4,2012,309.0,1604.1628403102109
Adelaide,Melbourne,4,2012,160.0,641.6529269409299
Adelaide,Perth,4,2012,363.0,2115.440208283999
Adelaide,Port Lincoln,4,2012,312.0,245.00141173119508
Adelaide,Sydney,4,2012,228.0,1164.1801497410133
Adelaide,Brisbane,5,2012,336.0,1619.982413941602
Adelaide,Canberra,5,2012,447.0,970.2290464494174
Adelaide,Gold Coast,5,2012,390.0,1604.1628403102109
Adelaide,Melbourne,5,2012,174.0,641.6529269409299
Adelaide,Perth,5,2012,451.0,2115.440208283999
Adelaide,Port Lincoln,5,2012,327.0,245.00141173119508
Adelaide,Sydney,5,2012,282.0,1164.1801497410133
Adelaide,Brisbane,6,2012,404.0,1619.982413941602
Adelaide,Canberra,6,2012,508.0,970.2290464494174
Adelaide,Gold Coast,6,2012,702.0,1604.1628403102109
Adelaide,Melbourne,6,2012,241.0,641.6529269409299
Adelaide,Perth,6,2012,521.0,2115.440208283999
Adelaide,Port Lincoln,6,2012,330.0,245.00141173119508
Adelaide,Sydney,6,2012,309.0,1164.1801497410133
Adelaide,Brisbane,7,2012,332.0,1619.982413941602
Adelaide,Canberra,7,2012,388.0,970.2290464494174
Adelaide,Gold Coast,7,2012,439.0,1604.1628403102109
Adelaide,Melbourne,7,2012,198.0,641.6529269409299
Adelaide,Perth,7,2012,423.0,2115.440208283999
Adelaide,Port Lincoln,7,2012,329.0,245.00141173119508
Adelaide,Sydney,7,2012,281.0,1164.1801497410133
Adelaide,Brisbane,8,2012,374.0,1619.982413941602
Adelaide,Canberra,8,2012,508.0,970.2290464494174
Adelaide,Gold Coast,8,2012,439.0,1604.1628403102109
Adelaide,Melbourne,8,2012,185.0,641.6529269409299
Adelaide,Perth,8,2012,452.0,2115.440208283999
Adelaide,Port Lincoln,8,2012,332.0,245.00141173119508
Adelaide,Sydney,8,2012,265.0,1164.1801497410133
Adelaide,Brisbane,9,2012,460.0,1619.982413941602
Adelaide,Canberra,9,2012,604.0,970.2290464494174
Adelaide,Gold Coast,9,2012,559.0,1604.1628403102109
Adelaide,Melbourne,9,2012,345.0,641.6529269409299
Adelaide,Perth,9,2012,492.0,2115.440208283999
Adelaide,Port Lincoln,9,2012,300.0,245.00141173119508
Adelaide,Sydney,9,2012,318.0,1164.1801497410133
Adelaide,Brisbane,10,2012,392.0,1619.982413941602
Adelaide,Canberra,10,2012,447.0,970.2290464494174
Adelaide,Gold Coast,10,2012,459.0,1604.1628403102109
Adelaide,Melbourne,10,2012,224.0,641.6529269409299
Adelaide,Perth,10,2012,531.0,2115.440208283999
Adelaide,Port Lincoln,10,2012,264.0,245.00141173119508
Adelaide,Sydney,10,2012,304.0,1164.1801497410133
Adelaide,Brisbane,11,2012,398.0,1619.982413941602
Adelaide,Canberra,11,2012,436.0,970.2290464494174
Adelaide,Gold Coast,11,2012,438.0,1604.1628403102109
Adelaide,Melbourne,11,2012,211.0,641.6529269409299
Adelaide,Perth,11,2012,491.0,2115.440208283999
Adelaide,Port Lincoln,11,2012,264.0,245.00141173119508
Adelaide,Sydney,11,2012,278.0,1164.1801497410133
Adelaide,Brisbane,12,2012,611.0,1619.982413941602
Adelaide,Canberra,12,2012,661.0,970.2290464494174
Adelaide,Gold Coast,12,2012,584.0,1604.1628403102109
Adelaide,Melbourne,12,2012,291.0,641.6529269409299
Adelaide,Perth,12,2012,731.0,2115.440208283999
Adelaide,Port Lincoln,12,2012,299.0,245.00141173119508
Adelaide,Sydney,12,2012,531.0,1164.1801497410133
Adelaide,Brisbane,1,2013,343.0,1619.982413941602
Adelaide,Canberra,1,2013,424.0,970.2290464494174
Adelaide,Gold Coast,1,2013,330.0,1604.1628403102109
Adelaide,Melbourne,1,2013,130.0,641.6529269409299
Adelaide,Perth,1,2013,436.0,2115.440208283999
Adelaide,Port Lincoln,1,2013,262.0,245.00141173119508
Adelaide,Sydney,1,2013,226.0,1164.1801497410133
Adelaide,Brisbane,2,2013,383.0,1619.982413941602
Adelaide,Canberra,2,2013,465.0,970.2290464494174
Adelaide,Gold Coast,2,2013,423.0,1604.1628403102109
Adelaide,Melbourne,2,2013,157.0,641.6529269409299
Adelaide,Perth,2,2013,436.0,2115.440208283999
Adelaide,Port Lincoln,2,2013,300.0,245.00141173119508
Adelaide,Sydney,2,2013,303.0,1164.1801497410133
Adelaide,Brisbane,3,2013,436.0,1619.982413941602
Adelaide,Canberra,3,2013,420.0,970.2290464494174
Adelaide,Gold Coast,3,2013,671.0,1604.1628403102109
Adelaide,Melbourne,3,2013,186.0,641.6529269409299
Adelaide,Perth,3,2013,542.0,2115.440208283999
Adelaide,Port Lincoln,3,2013,300.0,245.00141173119508
Adelaide,Sydney,3,2013,277.0,1164.1801497410133
Adelaide,Brisbane,4,2013,379.0,1619.982413941602
Adelaide,Canberra,4,2013,561.0,970.2290464494174
Adelaide,Gold Coast,4,2013,448.0,1604.1628403102109
Adelaide,Melbourne,4,2013,146.0,641.6529269409299
Adelaide,Perth,4,2013,395.0,2115.440208283999
Adelaide,Port Lincoln,4,2013,262.0,245.00141173119508
Adelaide,Sydney,4,2013,278.0,1164.1801497410133
Adelaide,Brisbane,5,2013,289.0,1619.982413941602
Adelaide,Canberra,5,2013,375.0,970.2290464494174
Adelaide,Gold Coast,5,2013,315.0,1604.1628403102109
Adelaide,Melbourne,5,2013,132.0,641.6529269409299
Adelaide,Perth,5,2013,315.0,2115.440208283999
Adelaide,Port Lincoln,5,2013,262.0,245.00141173119508
Adelaide,Sydney,5,2013,183.0,1164.1801497410133
Adelaide,Brisbane,6,2013,342.0,1619.982413941602
Adelaide,Canberra,6,2013,437.0,970.2290464494174
Adelaide,Gold Coast,6,2013,487.0,1604.1628403102109
Adelaide,Melbourne,6,2013,119.0,641.6529269409299
Adelaide,Perth,6,2013,421.0,2115.440208283999
Adelaide,Port Lincoln,6,2013,288.0,245.00141173119508
Adelaide,Sydney,6,2013,249.0,1164.1801497410133
Adelaide,Brisbane,7,2013,338.0,1619.982413941602
Adelaide,Canberra,7,2013,398.0,970.2290464494174
Adelaide,Gold Coast,7,2013,346.0,1604.1628403102109
Adelaide,Melbourne,7,2013,137.0,641.6529269409299
Adelaide,Perth,7,2013,325.0,2115.440208283999
Adelaide,Port Lincoln,7,2013,285.0,245.00141173119508
Adelaide,Sydney,7,2013,233.0,1164.1801497410133
Adelaide,Brisbane,8,2013,312.0,1619.982413941602
Adelaide,Canberra,8,2013,476.0,970.2290464494174
Adelaide,Gold Coast,8,2013,377.0,1604.1628403102109
Adelaide,Melbourne,8,2013,131.0,641.6529269409299
Adelaide,Perth,8,2013,403.0,2115.440208283999
Adelaide,Port Lincoln,8,2013,285.0,245.00141173119508
Adelaide,Sydney,8,2013,233.0,1164.1801497410133
Adelaide,Brisbane,9,2013,478.0,1619.982413941602
Adelaide,Canberra,9,2013,639.0,970.2290464494174
Adelaide,Gold Coast,9,2013,743.0,1604.1628403102109
Adelaide,Melbourne,9,2013,216.0,641.6529269409299
Adelaide,Perth,9,2013,534.0,2115.440208283999
Adelaide,Port Lincoln,9,2013,288.0,245.00141173119508
Adelaide,Sydney,9,2013,259.0,1164.1801497410133
Adelaide,Brisbane,10,2013,309.0,1619.982413941602
Adelaide,Canberra,10,2013,444.0,970.2290464494174
Adelaide,Gold Coast,10,2013,356.0,1604.1628403102109
Adelaide,Melbourne,10,2013,117.0,641.6529269409299
Adelaide,Perth,10,2013,421.0,2115.440208283999
Adelaide,Port Lincoln,10,2013,286.0,245.00141173119508
Adelaide,Sydney,10,2013,244.0,1164.1801497410133
