Year,Month,Distance_GC_(km),Arriving_Port,Departing_Port
2008,1,246,Port Lincoln,Adelaide
2008,1,643,Melbourne,Adelaide
2008,1,972,Canberra,Adelaide
2008,1,1167,Sydney,Adelaide
2008,1,1316,Alice Springs,Adelaide
2008,1,1607,Gold Coast,Adelaide
2008,1,1622,Brisbane,Adelaide
2008,1,2120,Perth,Adelaide
2008,2,246,Port Lincoln,Adelaide
2008,2,643,Melbourne,Adelaide
2008,2,972,Canberra,Adelaide
2008,2,1167,Sydney,Adelaide
2008,2,1316,Alice Springs,Adelaide
2008,2,1607,Gold Coast,Adelaide
2008,2,1622,Brisbane,Adelaide
2008,2,2120,Perth,Adelaide
2008,3,246,Port Lincoln,Adelaide
2008,3,643,Melbourne,Adelaide
2008,3,972,Canberra,Adelaide
2008,3,1167,Sydney,Adelaide
2008,3,1316,Alice Springs,Adelaide
2008,3,1607,Gold Coast,Adelaide
2008,3,1622,Brisbane,Adelaide
2008,3,2120,Perth,Adelaide
2008,4,246,Port Lincoln,Adelaide
2008,4,643,Melbourne,Adelaide
2008,4,972,Canberra,Adelaide
2008,4,1167,Sydney,Adelaide
2008,4,1316,Alice Springs,Adelaide
2008,4,1607,Gold Coast,Adelaide
2008,4,1622,Brisbane,Adelaide
2008,4,2120,Perth,Adelaide
2008,5,246,Port Lincoln,Adelaide
2008,5,643,Melbourne,Adelaide
2008,5,972,Canberra,Adelaide
2008,5,1167,Sydney,Adelaide
2008,5,1316,Alice Springs,Adelaide
2008,5,1607,Gold Coast,Adelaide
2008,5,1622,Brisbane,Adelaide
2008,5,2120,Perth,Adelaide
2008,6,246,Port Lincoln,Adelaide
2008,6,643,Melbourne,Adelaide
2008,6,972,Canberra,Adelaide
2008,6,1167,Sydney,Adelaide
2008,6,1316,Alice Springs,Adelaide
2008,6,1607,Gold Coast,Adelaide
2008,6,1622,Brisbane,Adelaide
2008,6,2120,Perth,Adelaide
2008,7,246,Port Lincoln,Adelaide
2008,7,643,Melbourne,Adelaide
2008,7,972,Canberra,Adelaide
2008,7,1167,Sydney,Adelaide
2008,7,1316,Alice Springs,Adelaide
2008,7,1607,Gold Coast,Adelaide
2008,7,1622,Brisbane,Adelaide
2008,7,2120,Perth,Adelaide
2008,8,246,Port Lincoln,Adelaide
2008,8,643,Melbourne,Adelaide
2008,8,972,Canberra,Adelaide
2008,8,1167,Sydney,Adelaide
2008,8,1316,Alice Springs,Adelaide
2008,8,1607,Gold Coast,Adelaide
2008,8,1622,Brisbane,Adelaide
2008,8,2120,Perth,Adelaide
2008,9,246,Port Lincoln,Adelaide
2008,9,643,Melbourne,Adelaide
2008,9,972,Canberra,Adelaide
2008,9,1167,Sydney,Adelaide
2008,9,1316,Alice Springs,Adelaide
2008,9,1607,Gold Coast,Adelaide
2008,9,1622,Brisbane,Adelaide
2008,9,2120,Perth,Adelaide
2008,10,246,Port Lincoln,Adelaide
2008,10,643,Melbourne,Adelaide
2008,10,972,Canberra,Adelaide
2008,10,1167,Sydney,Adelaide
2008,10,1316,Alice Springs,Adelaide
2008,10,1607,Gold Coast,Adelaide
2008,10,1622,Brisbane,Adelaide
2008,10,2120,Perth,Adelaide
2008,11,246,Port Lincoln,Adelaide
2008,11,643,Melbourne,Adelaide
2008,11,972,Canberra,Adelaide
2008,11,1167,Sydney,Adelaide
2008,11,1316,Alice Springs,Adelaide
2008,11,1607,Gold Coast,Adelaide
2008,11,1622,Brisbane,Adelaide
2008,11,2120,Perth,Adelaide
2008,12,246,Port Lincoln,Adelaide
2008,12,643,Melbourne,Adelaide
2008,12,972,Canberra,Adelaide
2008,12,1167,Sydney,Adelaide
2008,12,1316,Alice Springs,Adelaide
2008,12,1607,Gold Coast,Adelaide
2008,12,1622,Brisbane,Adelaide
2008,12,2120,Perth,Adelaide
2009,1,246,Port Lincoln,Adelaide
2009,1,643,Melbourne,Adelaide
2009,1,972,Canberra,Adelaide
2009,1,1167,Sydney,Adelaide
2009,1,1316,Alice Springs,Adelaide
2009,1,1607,Gold Coast,Adelaide
2009,1,1622,Brisbane,Adelaide
2009,1,2120,Perth,Adelaide
2009,2,246,Port Lincoln,Adelaide
2009,2,643,Melbourne,Adelaide
2009,2,972,Canberra,Adelaide
2009,2,1167,Sydney,Adelaide
2009,2,1316,Alice Springs,Adelaide
2009,2,1607,Gold Coast,Adelaide
2009,2,1622,Brisbane,Adelaide
2009,2,2120,Perth,Adelaide
2009,3,246,Port Lincoln,Adelaide
2009,3,643,Melbourne,Adelaide
2009,3,972,Canberra,Adelaide
2009,3,1167,Sydney,Adelaide
2009,3,1316,Alice Springs,Adelaide
2009,3,1607,Gold Coast,Adelaide
2009,3,1622,Brisbane,Adelaide
2009,3,2120,Perth,Adelaide
2009,4,246,Port Lincoln,Adelaide
2009,4,643,Melbourne,Adelaide
2009,4,972,Canberra,Adelaide
2009,4,1167,Sydney,Adelaide
2009,4,1316,Alice Springs,Adelaide
2009,4,1607,Gold Coast,Adelaide
2009,4,1622,Brisbane,Adelaide
2009,4,2120,Perth,Adelaide
2009,5,246,Port Lincoln,Adelaide
2009,5,643,Melbourne,Adelaide
2009,5,972,Canberra,Adelaide
2009,5,1167,Sydney,Adelaide
2009,5,1316,Alice Springs,Adelaide
2009,5,1607,Gold Coast,Adelaide
2009,5,1622,Brisbane,Adelaide
2009,5,2120,Perth,Adelaide
2009,6,246,Port Lincoln,Adelaide
2009,6,643,Melbourne,Adelaide
2009,6,972,Canberra,Adelaide
2009,6,1167,Sydney,Adelaide
2009,6,1316,Alice Springs,Adelaide
2009,6,1607,Gold Coast,Adelaide
2009,6,1622,Brisbane,Adelaide
2009,6,2120,Perth,Adelaide
2009,7,246,Port Lincoln,Adelaide
2009,7,643,Melbourne,Adelaide
2009,7,972,Canberra,Adelaide
2009,7,1167,Sydney,Adelaide
2009,7,1316,Alice Springs,Adelaide
2009,7,1607,Gold Coast,Adelaide
2009,7,1622,Brisbane,Adelaide
2009,7,2120,Perth,Adelaide
2009,8,246,Port Lincoln,Adelaide
2009,8,643,Melbourne,Adelaide
2009,8,972,Canberra,Adelaide
2009,8,1167,Sydney,Adelaide
2009,8,1316,Alice Springs,Adelaide
2009,8,1607,Gold Coast,Adelaide
2009,8,1622,Brisbane,Adelaide
2009,8,2120,Perth,Adelaide
2009,9,246,Port Lincoln,Adelaide
2009,9,643,Melbourne,Adelaide
2009,9,972,Canberra,Adelaide
2009,9,1167,Sydney,Adelaide
2009,9,1316,Alice Springs,Adelaide
2009,9,1607,Gold Coast,Adelaide
2009,9,1622,Brisbane,Adelaide
2009,9,2120,Perth,Adelaide
2009,10,246,Port Lincoln,Adelaide
2009,10,643,Melbourne,Adelaide
2009,10,972,Canberra,Adelaide
2009,10,1167,Sydney,Adelaide
2009,10,1316,Alice Springs,Adelaide
2009,10,1607,Gold Coast,Adelaide
2009,10,1622,Brisbane,Adelaide
2009,10,2120,Perth,Adelaide
2009,11,246,Port Lincoln,Adelaide
2009,11,643,Melbourne,Adelaide
2009,11,972,Canberra,Adelaide
2009,11,1167,Sydney,Adelaide
2009,11,1316,Alice Springs,Adelaide
2009,11,1607,Gold Coast,Adelaide
2009,11,1622,Brisbane,Adelaide
2009,11,2120,Perth,Adelaide
2009,12,246,Port Lincoln,Adelaide
2009,12,643,Melbourne,Adelaide
2009,12,972,Canberra,Adelaide
2009,12,1167,Sydney,Adelaide
2009,12,1316,Alice Springs,Adelaide
2009,12,1607,Gold Coast,Adelaide
2009,12,1622,Brisbane,Adelaide
2009,12,2120,Perth,Adelaide
2010,1,246,Port Lincoln,Adelaide
2010,1,643,Melbourne,Adelaide
2010,1,972,Canberra,Adelaide
2010,1,1167,Sydney,Adelaide
2010,1,1316,Alice Springs,Adelaide
2010,1,1607,Gold Coast,Adelaide
2010,1,1622,Brisbane,Adelaide
2010,1,2120,Perth,Adelaide
2010,2,246,Port Lincoln,Adelaide
2010,2,643,Melbourne,Adelaide
2010,2,972,Canberra,Adelaide
2010,2,1167,Sydney,Adelaide
2010,2,1316,Alice Springs,Adelaide
2010,2,1607,Gold Coast,Adelaide
2010,2,1622,Brisbane,Adelaide
2010,2,2120,Perth,Adelaide
2010,3,246,Port Lincoln,Adelaide
2010,3,643,Melbourne,Adelaide
2010,3,972,Canberra,Adelaide
2010,3,1167,Sydney,Adelaide
2010,3,1316,Alice Springs,Adelaide
2010,3,1607,Gold Coast,Adelaide
2010,3,1622,Brisbane,Adelaide
2010,3,2120,Perth,Adelaide
2010,4,246,Port Lincoln,Adelaide
2010,4,643,Melbourne,Adelaide
2010,4,972,Canberra,Adelaide
2010,4,1167,Sydney,Adelaide
2010,4,1316,Alice Springs,Adelaide
2010,4,1607,Gold Coast,Adelaide
2010,4,1622,Brisbane,Adelaide
2010,4,2120,Perth,Adelaide
2010,5,246,Port Lincoln,Adelaide
2010,5,643,Melbourne,Adelaide
2010,5,972,Canberra,Adelaide
2010,5,1167,Sydney,Adelaide
2010,5,1316,Alice Springs,Adelaide
2010,5,1607,Gold Coast,Adelaide
2010,5,1622,Brisbane,Adelaide
2010,5,2120,Perth,Adelaide
2010,6,246,Port Lincoln,Adelaide
2010,6,643,Melbourne,Adelaide
2010,6,972,Canberra,Adelaide
2010,6,1167,Sydney,Adelaide
2010,6,1316,Alice Springs,Adelaide
2010,6,1607,Gold Coast,Adelaide
2010,6,1622,Brisbane,Adelaide
2010,6,2120,Perth,Adelaide
2010,7,246,Port Lincoln,Adelaide
2010,7,643,Melbourne,Adelaide
2010,7,972,Canberra,Adelaide
2010,7,1167,Sydney,Adelaide
2010,7,1316,Alice Springs,Adelaide
2010,7,1607,Gold Coast,Adelaide
2010,7,1622,Brisbane,Adelaide
2010,7,2120,Perth,Adelaide
2010,8,246,Port Lincoln,Adelaide
2010,8,643,Melbourne,Adelaide
2010,8,972,Canberra,Adelaide
2010,8,1167,Sydney,Adelaide
2010,8,1316,Alice Springs,Adelaide
2010,8,1607,Gold Coast,Adelaide
2010,8,1622,Brisbane,Adelaide
2010,8,2120,Perth,Adelaide
2010,9,246,Port Lincoln,Adelaide
2010,9,643,Melbourne,Adelaide
2010,9,972,Canberra,Adelaide
2010,9,1167,Sydney,Adelaide
2010,9,1316,Alice Springs,Adelaide
2010,9,1607,Gold Coast,Adelaide
2010,9,1622,Brisbane,Adelaide
2010,9,2120,Perth,Adelaide
2010,10,246,Port Lincoln,Adelaide
2010,10,643,Melbourne,Adelaide
2010,10,972,Canberra,Adelaide
2010,10,1167,Sydney,Adelaide
2010,10,1316,Alice Springs,Adelaide
2010,10,1607,Gold Coast,Adelaide
2010,10,1622,Brisbane,Adelaide
2010,10,2120,Perth,Adelaide
2010,11,246,Port Lincoln,Adelaide
2010,11,643,Melbourne,Adelaide
2010,11,972,Canberra,Adelaide
2010,11,1167,Sydney,Adelaide
2010,11,1316,Alice Springs,Adelaide
2010,11,1607,Gold Coast,Adelaide
2010,11,1622,Brisbane,Adelaide
2010,11,2120,Perth,Adelaide
2010,12,246,Port Lincoln,Adelaide
2010,12,643,Melbourne,Adelaide
2010,12,972,Canberra,Adelaide
2010,12,1167,Sydney,Adelaide
2010,12,1316,Alice Springs,Adelaide
2010,12,1607,Gold Coast,Adelaide
2010,12,1622,Brisbane,Adelaide
2010,12,2120,Perth,Adelaide
2011,1,246,Port Lincoln,Adelaide
2011,1,643,Melbourne,Adelaide
2011,1,972,Canberra,Adelaide
2011,1,1167,Sydney,Adelaide
2011,1,1316,Alice Springs,Adelaide
2011,1,1607,Gold Coast,Adelaide
2011,1,1622,Brisbane,Adelaide
2011,1,2120,Perth,Adelaide
2011,2,246,Port Lincoln,Adelaide
2011,2,643,Melbourne,Adelaide
2011,2,972,Canberra,Adelaide
2011,2,1167,Sydney,Adelaide
2011,2,1316,Alice Springs,Adelaide
2011,2,1607,Gold Coast,Adelaide
2011,2,1622,Brisbane,Adelaide
2011,2,2120,Perth,Adelaide
2011,3,246,Port Lincoln,Adelaide
2011,3,643,Melbourne,Adelaide
2011,3,972,Canberra,Adelaide
2011,3,1167,Sydney,Adelaide
2011,3,1316,Alice Springs,Adelaide
2011,3,1607,Gold Coast,Adelaide
2011,3,1622,Brisbane,Adelaide
2011,3,2120,Perth,Adelaide
2011,4,246,Port Lincoln,Adelaide
2011,4,643,Melbourne,Adelaide
2011,4,972,Canberra,Adelaide
2011,4,1167,Sydney,Adelaide
2011,4,1316,Alice Springs,Adelaide
2011,4,1607,Gold Coast,Adelaide
2011,4,1622,Brisbane,Adelaide
2011,4,2120,Perth,Adelaide
2011,5,246,Port Lincoln,Adelaide
2011,5,643,Melbourne,Adelaide
2011,5,972,Canberra,Adelaide
2011,5,1167,Sydney,Adelaide
2011,5,1316,Alice Springs,Adelaide
2011,5,1607,Gold Coast,Adelaide
2011,5,1622,Brisbane,Adelaide
2011,5,2120,Perth,Adelaide
2011,6,246,Port Lincoln,Adelaide
2011,6,643,Melbourne,Adelaide
2011,6,972,Canberra,Adelaide
2011,6,1167,Sydney,Adelaide
2011,6,1316,Alice Springs,Adelaide
2011,6,1607,Gold Coast,Adelaide
2011,6,1622,Brisbane,Adelaide
2011,6,2120,Perth,Adelaide
2011,7,246,Port Lincoln,Adelaide
2011,7,643,Melbourne,Adelaide
2011,7,972,Canberra,Adelaide
2011,7,1167,Sydney,Adelaide
2011,7,1316,Alice Springs,Adelaide
2011,7,1607,Gold Coast,Adelaide
2011,7,1622,Brisbane,Adelaide
2011,7,2120,Perth,Adelaide
2011,8,246,Port Lincoln,Adelaide
2011,8,643,Melbourne,Adelaide
2011,8,972,Canberra,Adelaide
2011,8,1167,Sydney,Adelaide
2011,8,1316,Alice Springs,Adelaide
2011,8,1607,Gold Coast,Adelaide
2011,8,1622,Brisbane,Adelaide
2011,8,2120,Perth,Adelaide
2011,9,246,Port Lincoln,Adelaide
2011,9,643,Melbourne,Adelaide
2011,9,972,Canberra,Adelaide
2011,9,1167,Sydney,Adelaide
2011,9,1316,Alice Springs,Adelaide
2011,9,1607,Gold Coast,Adelaide
2011,9,1622,Brisbane,Adelaide
2011,9,2120,Perth,Adelaide
2011,10,246,Port Lincoln,Adelaide
2011,10,643,Melbourne,Adelaide
2011,10,972,Canberra,Adelaide
2011,10,1167,Sydney,Adelaide
2011,10,1316,Alice Springs,Adelaide
2011,10,1607,Gold Coast,Adelaide
2011,10,1622,Brisbane,Adelaide
2011,10,2120,Perth,Adelaide
2011,11,246,Port Lincoln,Adelaide
2011,11,643,Melbourne,Adelaide
2011,11,972,Canberra,Adelaide
2011,11,1167,Sydney,Adelaide
2011,11,1316,Alice Springs,Adelaide
2011,11,1607,Gold Coast,Adelaide
2011,11,1622,Brisbane,Adelaide
2011,11,2120,Perth,Adelaide
2011,12,246,Port Lincoln,Adelaide
2011,12,643,Melbourne,Adelaide
2011,12,972,Canberra,Adelaide
2011,12,1167,Sydney,Adelaide
2011,12,1316,Alice Springs,Adelaide
2011,12,1607,Gold Coast,Adelaide
2011,12,1622,Brisbane,Adelaide
2011,12,2120,Perth,Adelaide
2012,1,246,Port Lincoln,Adelaide
2012,1,643,Melbourne,Adelaide
2012,1,972,Canberra,Adelaide
2012,1,1167,Sydney,Adelaide
2012,1,1316,Alice Springs,Adelaide
2012,1,1607,Gold Coast,Adelaide
2012,1,1622,Brisbane,Adelaide
2012,1,2120,Perth,Adelaide
2012,2,246,Port Lincoln,Adelaide
2012,2,643,Melbourne,Adelaide
2012,2,972,Canberra,Adelaide
2012,2,1167,Sydney,Adelaide
2012,2,1316,Alice Springs,Adelaide
2012,2,1607,Gold Coast,Adelaide
2012,2,1622,Brisbane,Adelaide
2012,2,2120,Perth,Adelaide
2012,3,246,Port Lincoln,Adelaide
2012,3,643,Melbourne,Adelaide
2012,3,972,Canberra,Adelaide
2012,3,1167,Sydney,Adelaide
2012,3,1316,Alice Springs,Adelaide
2012,3,1607,Gold Coast,Adelaide
2012,3,1622,Brisbane,Adelaide
2012,3,2120,Perth,Adelaide
2012,4,246,Port Lincoln,Adelaide
2012,4,643,Melbourne,Adelaide
2012,4,972,Canberra,Adelaide
2012,4,1167,Sydney,Adelaide
2012,4,1316,Alice Springs,Adelaide
2012,4,1607,Gold Coast,Adelaide
2012,4,1622,Brisbane,Adelaide
2012,4,2120,Perth,Adelaide
2012,5,246,Port Lincoln,Adelaide
2012,5,643,Melbourne,Adelaide
2012,5,972,Canberra,Adelaide
2012,5,1167,Sydney,Adelaide
2012,5,1316,Alice Springs,Adelaide
2012,5,1607,Gold Coast,Adelaide
2012,5,1622,Brisbane,Adelaide
2012,5,2120,Perth,Adelaide
2012,6,246,Port Lincoln,Adelaide
2012,6,643,Melbourne,Adelaide
2012,6,972,Canberra,Adelaide
2012,6,1167,Sydney,Adelaide
2012,6,1316,Alice Springs,Adelaide
2012,6,1607,Gold Coast,Adelaide
2012,6,1622,Brisbane,Adelaide
2012,6,2120,Perth,Adelaide
2012,7,246,Port Lincoln,Adelaide
2012,7,643,Melbourne,Adelaide
2012,7,972,Canberra,Adelaide
2012,7,1167,Sydney,Adelaide
2012,7,1316,Alice Springs,Adelaide
2012,7,1607,Gold Coast,Adelaide
2012,7,1622,Brisbane,Adelaide
2012,7,2120,Perth,Adelaide
2012,8,246,Port Lincoln,Adelaide
2012,8,643,Melbourne,Adelaide
2012,8,972,Canberra,Adelaide
2012,8,1167,Sydney,Adelaide
2012,8,1316,Alice Springs,Adelaide
2012,8,1607,Gold Coast,Adelaide
2012,8,1622,Brisbane,Adelaide
2012,8,2120,Perth,Adelaide
2012,9,246,Port Lincoln,Adelaide
2012,9,643,Melbourne,Adelaide
2012,9,972,Canberra,Adelaide
2012,9,1167,Sydney,Adelaide
2012,9,1316,Alice Springs,Adelaide
2012,9,1607,Gold Coast,Adelaide
2012,9,1622,Brisbane,Adelaide
2012,9,2120,Perth,Adelaide
2012,10,246,Port Lincoln,Adelaide
2012,10,643,Melbourne,Adelaide
2012,10,972,Canberra,Adelaide
2012,10,1167,Sydney,Adelaide
2012,10,1316,Alice Springs,Adelaide
2012,10,1607,Gold Coast,Adelaide
2012,10,1622,Brisbane,Adelaide
2012,10,2120,Perth,Adelaide
2012,11,246,Port Lincoln,Adelaide
2012,11,643,Melbourne,Adelaide
2012,11,972,Canberra,Adelaide
2012,11,1167,Sydney,Adelaide
2012,11,1316,Alice Springs,Adelaide
2012,11,1607,Gold Coast,Adelaide
2012,11,1622,Brisbane,Adelaide
2012,11,2120,Perth,Adelaide
2012,12,246,Port Lincoln,Adelaide
2012,12,643,Melbourne,Adelaide
2012,12,972,Canberra,Adelaide
2012,12,1167,Sydney,Adelaide
2012,12,1316,Alice Springs,Adelaide
2012,12,1607,Gold Coast,Adelaide
2012,12,1622,Brisbane,Adelaide
2012,12,2120,Perth,Adelaide
2013,1,246,Port Lincoln,Adelaide
2013,1,643,Melbourne,Adelaide
2013,1,972,Canberra,Adelaide
2013,1,1167,Sydney,Adelaide
2013,1,1316,Alice Springs,Adelaide
2013,1,1607,Gold Coast,Adelaide
2013,1,1622,Brisbane,Adelaide
2013,1,2120,Perth,Adelaide
2013,2,246,Port Lincoln,Adelaide
2013,2,643,Melbourne,Adelaide
2013,2,972,Canberra,Adelaide
2013,2,1167,Sydney,Adelaide
2013,2,1316,Alice Springs,Adelaide
2013,2,1607,Gold Coast,Adelaide
2013,2,1622,Brisbane,Adelaide
2013,2,2120,Perth,Adelaide
2013,3,246,Port Lincoln,Adelaide
2013,3,643,Melbourne,Adelaide
2013,3,972,Canberra,Adelaide
2013,3,1167,Sydney,Adelaide
2013,3,1316,Alice Springs,Adelaide
2013,3,1607,Gold Coast,Adelaide
2013,3,1622,Brisbane,Adelaide
2013,3,2120,Perth,Adelaide
2013,4,246,Port Lincoln,Adelaide
2013,4,643,Melbourne,Adelaide
2013,4,972,Canberra,Adelaide
2013,4,1167,Sydney,Adelaide
2013,4,1316,Alice Springs,Adelaide
2013,4,1607,Gold Coast,Adelaide
2013,4,1622,Brisbane,Adelaide
2013,4,2120,Perth,Adelaide
2013,5,246,Port Lincoln,Adelaide
2013,5,643,Melbourne,Adelaide
2013,5,972,Canberra,Adelaide
2013,5,1167,Sydney,Adelaide
2013,5,1316,Alice Springs,Adelaide
2013,5,1607,Gold Coast,Adelaide
2013,5,1622,Brisbane,Adelaide
2013,5,2120,Perth,Adelaide
2013,6,246,Port Lincoln,Adelaide
2013,6,643,Melbourne,Adelaide
2013,6,972,Canberra,Adelaide
2013,6,1167,Sydney,Adelaide
2013,6,1316,Alice Springs,Adelaide
2013,6,1607,Gold Coast,Adelaide
2013,6,1622,Brisbane,Adelaide
2013,6,2120,Perth,Adelaide
2013,7,246,Port Lincoln,Adelaide
2013,7,643,Melbourne,Adelaide
2013,7,972,Canberra,Adelaide
2013,7,1167,Sydney,Adelaide
2013,7,1316,Alice Springs,Adelaide
2013,7,1607,Gold Coast,Adelaide
2013,7,1622,Brisbane,Adelaide
2013,7,2120,Perth,Adelaide
2013,8,246,Port Lincoln,Adelaide
2013,8,643,Melbourne,Adelaide
2013,8,972,Canberra,Adelaide
2013,8,1167,Sydney,Adelaide
2013,8,1316,Alice Springs,Adelaide
2013,8,1607,Gold Coast,Adelaide
2013,8,1622,Brisbane,Adelaide
2013,8,2120,Perth,Adelaide
2013,9,246,Port Lincoln,Adelaide
2013,9,643,Melbourne,Adelaide
2013,9,972,Canberra,Adelaide
2013,9,1167,Sydney,Adelaide
2013,9,1316,Alice Springs,Adelaide
2013,9,1607,Gold Coast,Adelaide
2013,9,1622,Brisbane,Adelaide
2013,9,2120,Perth,Adelaide
2013,10,246,Port Lincoln,Adelaide
2013,10,643,Melbourne,Adelaide
2013,10,972,Canberra,Adelaide
2013,10,1167,Sydney,Adelaide
2013,10,1316,Alice Springs,Adelaide
2013,10,1607,Gold Coast,Adelaide
2013,10,1622,Brisbane,Adelaide
2013,10,2120,Perth,Adelaide
2013,11,246,Port Lincoln,Adelaide
2013,11,643,Melbourne,Adelaide
2013,11,972,Canberra,Adelaide
2013,11,1167,Sydney,Adelaide
2013,11,1316,Alice Springs,Adelaide
2013,11,1607,Gold Coast,Adelaide
2013,11,1622,Brisbane,Adelaide
2013,11,2120,Perth,Adelaide
2013,12,246,Port Lincoln,Adelaide
2013,12,643,Melbourne,Adelaide
2013,12,972,Canberra,Adelaide
2013,12,1167,Sydney,Adelaide
2013,12,1316,Alice Springs,Adelaide
2013,12,1607,Gold Coast,Adelaide
2013,12,1622,Brisbane,Adelaide
2013,12,2120,Perth,Adelaide
2014,1,246,Port Lincoln,Adelaide
2014,1,643,Melbourne,Adelaide
2014,1,972,Canberra,Adelaide
2014,1,1167,Sydney,Adelaide
2014,1,1316,Alice Springs,Adelaide
2014,1,1607,Gold Coast,Adelaide
2014,1,1622,Brisbane,Adelaide
2014,1,2120,Perth,Adelaide
2014,2,246,Port Lincoln,Adelaide
2014,2,643,Melbourne,Adelaide
2014,2,972,Canberra,Adelaide
2014,2,1167,Sydney,Adelaide
2014,2,1316,Alice Springs,Adelaide
2014,2,1607,Gold Coast,Adelaide
2014,2,1622,Brisbane,Adelaide
2014,2,2120,Perth,Adelaide
2014,3,246,Port Lincoln,Adelaide
2014,3,643,Melbourne,Adelaide
2014,3,972,Canberra,Adelaide
2014,3,1167,Sydney,Adelaide
2014,3,1316,Alice Springs,Adelaide
2014,3,1607,Gold Coast,Adelaide
2014,3,1622,Brisbane,Adelaide
2014,3,2120,Perth,Adelaide
2014,4,246,Port Lincoln,Adelaide
2014,4,643,Melbourne,Adelaide
2014,4,972,Canberra,Adelaide
2014,4,1167,Sydney,Adelaide
2014,4,1316,Alice Springs,Adelaide
2014,4,1607,Gold Coast,Adelaide
2014,4,1622,Brisbane,Adelaide
2014,4,2120,Perth,Adelaide
2014,5,246,Port Lincoln,Adelaide
2014,5,643,Melbourne,Adelaide
2014,5,972,Canberra,Adelaide
2014,5,1167,Sydney,Adelaide
2014,5,1316,Alice Springs,Adelaide
2014,5,1607,Gold Coast,Adelaide
2014,5,1622,Brisbane,Adelaide
2014,5,2120,Perth,Adelaide
2014,6,246,Port Lincoln,Adelaide
2014,6,643,Melbourne,Adelaide
2014,6,972,Canberra,Adelaide
2014,6,1167,Sydney,Adelaide
2014,6,1316,Alice Springs,Adelaide
2014,6,1607,Gold Coast,Adelaide
2014,6,1622,Brisbane,Adelaide
2014,6,2120,Perth,Adelaide
2014,7,246,Port Lincoln,Adelaide
2014,7,643,Melbourne,Adelaide
2014,7,972,Canberra,Adelaide
2014,7,1167,Sydney,Adelaide
2014,7,1607,Gold Coast,Adelaide
2014,7,1622,Brisbane,Adelaide
2014,7,2120,Perth,Adelaide
2014,8,246,Port Lincoln,Adelaide
2014,8,643,Melbourne,Adelaide
2014,8,972,Canberra,Adelaide
2014,8,1167,Sydney,Adelaide
2014,8,1607,Gold Coast,Adelaide
2014,8,1622,Brisbane,Adelaide
2014,8,2120,Perth,Adelaide
2014,9,246,Port Lincoln,Adelaide
2014,9,643,Melbourne,Adelaide
2014,9,972,Canberra,Adelaide
2014,9,1167,Sydney,Adelaide
2014,9,1607,Gold Coast,Adelaide
2014,9,1622,Brisbane,Adelaide
2014,9,2120,Perth,Adelaide
2014,10,246,Port Lincoln,Adelaide
2014,10,643,Melbourne,Adelaide
2014,10,972,Canberra,Adelaide
2014,10,1167,Sydney,Adelaide
2014,10,1607,Gold Coast,Adelaide
2014,10,1622,Brisbane,Adelaide
2014,10,2120,Perth,Adelaide
2014,11,246,Port Lincoln,Adelaide
2014,11,643,Melbourne,Adelaide
2014,11,972,Canberra,Adelaide
2014,11,1167,Sydney,Adelaide
2014,11,1607,Gold Coast,Adelaide
2014,11,1622,Brisbane,Adelaide
2014,11,2120,Perth,Adelaide
2014,12,246,Port Lincoln,Adelaide
2014,12,643,Melbourne,Adelaide
2014,12,972,Canberra,Adelaide
2014,12,1167,Sydney,Adelaide
2014,12,1607,Gold Coast,Adelaide
2014,12,1622,Brisbane,Adelaide
2014,12,2120,Perth,Adelaide
2015,1,246,Port Lincoln,Adelaide
2015,1,643,Melbourne,Adelaide
2015,1,972,Canberra,Adelaide
2015,1,1167,Sydney,Adelaide
2015,1,1607,Gold Coast,Adelaide
2015,1,1622,Brisbane,Adelaide
2015,1,2120,Perth,Adelaide
2015,2,246,Port Lincoln,Adelaide
2015,2,643,Melbourne,Adelaide
2015,2,972,Canberra,Adelaide
2015,2,1167,Sydney,Adelaide
2015,2,1607,Gold Coast,Adelaide
2015,2,1622,Brisbane,Adelaide
2015,2,2120,Perth,Adelaide
2015,3,246,Port Lincoln,Adelaide
2015,3,643,Melbourne,Adelaide
2015,3,972,Canberra,Adelaide
2015,3,1167,Sydney,Adelaide
2015,3,1316,Alice Springs,Adelaide
2015,3,1607,Gold Coast,Adelaide
2015,3,1622,Brisbane,Adelaide
2015,3,2120,Perth,Adelaide
2015,4,246,Port Lincoln,Adelaide
2015,4,643,Melbourne,Adelaide
2015,4,972,Canberra,Adelaide
2015,4,1167,Sydney,Adelaide
2015,4,1316,Alice Springs,Adelaide
2015,4,1607,Gold Coast,Adelaide
2015,4,1622,Brisbane,Adelaide
2015,4,2120,Perth,Adelaide
2015,5,246,Port Lincoln,Adelaide
2015,5,643,Melbourne,Adelaide
2015,5,972,Canberra,Adelaide
2015,5,1167,Sydney,Adelaide
2015,5,1316,Alice Springs,Adelaide
2015,5,1607,Gold Coast,Adelaide
2015,5,1622,Brisbane,Adelaide
2015,5,2120,Perth,Adelaide
2015,6,246,Port Lincoln,Adelaide
2015,6,643,Melbourne,Adelaide
2015,6,972,Canberra,Adelaide
2015,6,1167,Sydney,Adelaide
2015,6,1316,Alice Springs,Adelaide
2015,6,1607,Gold Coast,Adelaide
2015,6,1622,Brisbane,Adelaide
2015,6,2120,Perth,Adelaide
